id|name|type|population2025|population2035|lat|lng|departmentId|departmentName
17444|Marquetalia|municipio|13763|14215|5.309142491|-75.04117892|17|Caldas
17446|Marulanda|municipio|2743|2849|5.235585244|-75.28316648|17|Caldas
17486|Neira|municipio|21755|22458|5.183358589|-75.50692977|17|Caldas
17495|Norcasia|municipio|6168|6331|5.638062349|-74.85492707|17|Caldas
17513|Pácora|municipio|15866|16386|5.500035035|-75.48245057|17|Caldas
17524|Palestina|municipio|16121|16662|5.050342543|-75.66176266|17|Caldas
17541|Pensilvania|municipio|20450|21067|5.407187836|-75.16683996|17|Caldas
17614|Riosucio|municipio|54360|56504|5.442275418|-75.75220499|17|Caldas
17616|Risaralda|municipio|11367|11787|5.097563816|-75.73335166|17|Caldas
17653|Salamina|municipio|20172|20840|5.370332425|-75.40962177|17|Caldas
17662|Samaná|municipio|21527|22302|5.519692873|-74.99718577|17|Caldas
17665|San José|municipio|4978|5241|5.083424513|-75.8101789|17|Caldas
17777|Supía|municipio|30136|31128|5.45295802|-75.64035705|17|Caldas
17867|Victoria|municipio|10571|10931|5.447542859|-74.83622502|17|Caldas
