id|type|name|placeId|parentId|parentName|lat|lng
27250|municipio|El Litoral del San Juan|ChIJo5W-jBUIN44RLDwakvSKgEU|27|Chocó|4.2006777|-76.7336521
44110|municipio|El Molino|ChIJB9Um4rjvio4Rnr88gNyqr8g|44|La Guajira|10.6524332|-72.92118789999999
20250|municipio|El Paso|ChIJCWcdqbnaX44RMBPuKdx6N_Q|20|Cesar|9.661436|-73.74643000000002
18256|municipio|El Paujíl|ChIJL0C2TsRpJI4RZfGV7jQkDzs|18|Caquetá|1.5710821|-75.3268349
52254|municipio|El Peñol|ChIJ9QTLwk7CLo4R3jROMxrme40|52|Nariño|1.453475|-77.4404636
13268|municipio|El Peñón|ChIJgac8au1xXo4RklpXmqKnoS8|13|Bolívar|8.9897013|-73.95010380000001
25258|municipio|El Peñón|ChIJT1_OjWn0QI4RwIR6zE21L78|25|Cundinamarca|5.248622999999999|-74.29033
68250|municipio|El Peñón|ChIJt9S4o2vzQY4Rwemuf0lS8DA|68|Santander|6.054717399999999|-73.81591089999999
47258|municipio|El Piñón|ChIJFQsSAOP69Y4Rv9Zmy0kYqrw|47|Magdalena|10.404038|-74.823769
68255|municipio|El Playón|ChIJE-hwa_7gZ44RVlf1FEpYS1Q|68|Santander|7.4706343|-73.2030848
47268|municipio|El Retén|ChIJe719i-aj9Y4RlizCfyK6ALg|47|Magdalena|10.6477434|-74.3352858
95025|municipio|El Retorno|ChIJhV_3d-jVGY4RTnqfLfQaVaQ|95|Guaviare|2.331899|-72.62812699999999
70233|municipio|El Roble|ChIJQ3N91QBFWY4RkIYfER0t9CU|70|Sucre|9.1059302|-75.1951424
25260|municipio|El Rosal|ChIJQ0WyXMp_P44R4kzKhX1mpBo|25|Cundinamarca|4.852250000000001|-74.26482399999999
52256|municipio|El Rosario|ChIJqfr7pan5Lo4RYnyKaPz2BCE|52|Nariño|1.742897|-77.33513239999999
05697|municipio|El Santuario|ChIJcWz-1D6hRo4REOWxqzSpnqQ|05|Antioquia|6.1392039|-75.26367479999999
52258|municipio|El Tablón de Gómez|ChIJqZWacN4jL44RppfwROOBXHo|52|Nariño|1.427619|-77.097224
19256|municipio|El Tambo|ChIJew2ptkAfMI4ROlQ6JMbpWaA|19|Cauca|2.452695|-76.81132199999999
52260|municipio|El Tambo|ChIJDfQ7k1jDLo4REj2vKHkTLQc|52|Nariño|1.4081109|-77.391527
54250|municipio|El Tarra|ChIJjYkTY2NHZ44RnMDUXlnXCIg|54|Norte de Santander|8.57451|-73.09339
